# Manually maintained mapping of IATA airport codes and timezones such that:
#
# 1) Every timezone is associated with at least one airport code.
# 2) An airport code is associated with only a single timezone.
# 3) Some timezones may be associated with multiple airports.
#
# The airport codes were assigned using the following guidelines:
#
# 1) Use the well-known 3-letter IATA code if available.
# 2) Use the 4-letter ICAO code if IATA code is not assigned.
# (e.g. BGDH at Danmarkshavn Airport, Greenland).
# 3) Use the sentinel "0000" if no airport exists near the town/region. This
# makes it impossible to select one of these timezones using an airport code.
# Fortunately, most of these are small villages or towns which chose to use a
# different DST rule than the rest of the larger region for various regions.

# airport timezone
Europe/Minsk # Belarus
Europe/Monaco # Monaco
Europe/Moscow # Russia
Europe/Oslo # Norway
Europe/Paris # France
Europe/Podgorica # Montenegro
Europe/Prague # Czech Republic
Europe/Riga # Latvia
Europe/Rome # Italy
Europe/Samara # Russia
Europe/San_Marino # San Marino
Europe/Sarajevo # Bosnia & Herzegovina
Europe/Saratov # Russia
Europe/Simferopol # Crimea, Ukraine
Europe/Skopje # North Macedonia
Europe/Sofia # Bulgaria
Europe/Stockholm # Sweden
Europe/Tallinn # Estonia
Europe/Tirane # Albania
Europe/Tiraspol # Moldova
Europe/Ulyanovsk # Russia
Europe/Uzhgorod # Ukraine
Europe/Vaduz # Liechtenstein
Europe/Vatican # Vatican City
Europe/Vienna # Austria
Europe/Vilnius # Lithuania
Europe/Volgograd # Russia
Europe/Warsaw # Poland
Europe/Zagreb # Croatia
Europe/Zaporozhye # Ukraine
Europe/Zurich # Switzerland
Indian/Antananarivo # Madagascar
Indian/Chagos # British Indian Ocean Territory
Indian/Christmas # Christmas Island
Indian/Cocos # Cocos Islands
Indian/Comoro # Comoros
Indian/Kerguelen # French Southern and Antarctic Lands
Indian/Mahe # Seychelles
Indian/Maldives # Maldives
Indian/Mauritius # Mauritius
Indian/Mayotte # Mayotte
Indian/Reunion # Reunion
Pacific/Apia # Samoa (Western)
Pacific/Auckland # New Zealand
Pacific/Bougainville # Papua New Guinea
Pacific/Chatham # New Zealand
Pacific/Chuuk # Micronesia
Pacific/Easter # Chile
Pacific/Efate # Vanuatu
Pacific/Enderbury # Kiribati
Pacific/Fakaofo # Tokelau
Pacific/Fiji # Fiji
Pacific/Funafuti # Tuvalu
Pacific/Galapagos # Ecuador
Pacific/Gambier # French Polynesia
Pacific/Guadalcanal # Solomon Islands
Pacific/Guam # Guam
Pacific/Honolulu # USA
Pacific/Johnston # US Minor Outlying Islands
Pacific/Kanton # Kiribati
Pacific/Kiritimati # Christmas Island
Pacific/Kosrae # Micronesia
Pacific/Kwajalein # Marshall Islands
Pacific/Majuro # Marshall Islands
Pacific/Marquesas # French Polynesia
Pacific/Midway # American Samoa
Pacific/Nauru # Nauru
Pacific/Niue # Niue
Pacific/Norfolk # Norfolk Island
Pacific/Noumea # New Caledonia
Pacific/Pago_Pago # American Samoa
Pacific/Palau # Palau
Pacific/Pitcairn # Pitcairn
Pacific/Pohnpei # Micronesia
Pacific/Port_Moresby # Papua New Guinea
Pacific/Rarotonga # Cook Islands
